index,Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
34.0,34,1690668686.1191406,10.276457316714408,0.0,0.0011577606201171,0.0289332866668701,0.0310134887695312,0.0017702579498291,0.01,0.04611946105957031,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
35.0,35,1690668686.194968,10.419152496538665,0.0,0.00071382522583,0.0221955776214599,0.0241963863372802,0.0020065307617187,0.01,0.0401258563995361,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
36.0,36,1690668686.2793975,10.520808768515089,0.0,0.0010993480682373,0.0289578437805175,0.024662971496582,0.0015151500701904,0.01,0.0396261310577392,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
37.0,37,1690668686.3684456,10.58548927617006,0.0,0.0012147426605224,0.029496431350708,0.0248117446899414,0.0015690326690673,0.01,0.0403897857666016,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
38.0,38,1690668686.4824667,10.513866029592888,0.0,0.001173973083496,0.0285291671752929,0.040839672088623,0.0020031929016113,0.01,0.0688674545288086,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
39.0,39,1690668686.579558,10.715051325003367,0.0,0.0011699199676513,0.028221845626831,0.0300168991088867,0.0016255378723144,0.01,0.0490896797180176,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
40.0,40,1690668686.6689477,10.813661044318286,0.0,0.0012471675872802,0.0288672447204589,0.0251417160034179,0.0016121864318847,0.01,0.040191659927368104,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
41.0,41,1690668686.753418,10.881609281788933,0.0,0.0012431144714355,0.0296041965484619,0.0251643657684326,0.0015926361083984,0.01,0.0401527976989746,-1,split,0,1,-55.0,0.0,0.0,0.0,144.4,57561.0,0.0,27471.0,3037.0,66599283.0,12.599999605815793,2486963.0,0.0,68.98263027295286,5389.0,55.0,644.0
42.0,42,1690668686.8574111,10.892705313320493,0.0,0.0012509822845458,0.0304458141326904,0.0390629768371582,0.0019998550415039,0.01,0.055359373092651404,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
43.0,43,1690668686.9507856,10.964311954823737,0.0,0.0011651515960693,0.0295095443725585,0.0212957859039306,0.0014986991882324,0.01,0.0402679538726806,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
44.0,44,1690668687.0497253,10.897988294358756,0.0,0.001199722290039,0.0289356708526611,0.0365686416625976,0.0017995834350585,0.01,0.0532019233703613,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
45.0,45,1690668687.1594863,10.79971428044933,0.0,0.0012915134429931,0.0294184684753417,0.0440466403961181,0.0018842220306396,0.01,0.0618791675567627,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
46.0,46,1690668687.2752016,10.70317075986512,0.0,0.0013618469238281,0.0299320220947265,0.0408523082733154,0.0018610954284667,0.01,0.060781726837158205,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
47.0,47,1690668687.3860157,10.624382877208154,0.0,0.001143455505371,0.0285003185272216,0.0385372638702392,0.0018086433410644,0.23,0.2779619503021241,-1,split,0,1,-58.0,0.0,0.0,0.0,144.4,57919.0,0.0,27647.0,2885.0,66994854.0,13.043949568072655,2508843.0,0.0,70.32418952618454,6129.0,52.0,1747.0
