timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position
1690669545.0102665,9.696667425081502,0.0,0.009336709976196289,0.06124448776245117,0.012399911880493164,-1,0.09668493270874023,0.11130404472351074,50,edge,0,3/7
1690669545.1285903,9.672021974293726,0.0,0.010062217712402344,0.06402850151062012,0.00589442253112793,-1,0.10540294647216797,0.11831998825073242,50,edge,0,3/7
1690669545.2216074,9.7234639571679,0.0,0.003113269805908203,0.05928611755371094,0.005997657775878906,-1,0.07977557182312012,0.0930173397064209,50,edge,0,3/7
1690669545.3338528,9.730172185584964,0.0,0.008960485458374023,0.060768842697143555,0.008315563201904297,-1,0.09643387794494629,0.11224794387817383,50,edge,0,3/7
1690669545.443358,9.736903692817718,0.0,0.009532690048217773,0.060433387756347656,0.016002893447875977,-1,0.0903482437133789,0.1095123291015625,50,edge,0,3/7
1690669545.5522625,9.729039583594568,0.0,0.009592056274414062,0.06118035316467285,0.005784034729003906,-1,0.09267783164978027,0.10890412330627441,50,edge,0,3/7
1690669545.6618924,9.694100609923838,0.0,0.009841442108154297,0.06219220161437988,0.005782604217529297,-1,0.0987093448638916,0.10963177680969238,50,edge,0,3/7
1690669545.7624717,9.67184037161203,0.0,0.009450197219848633,0.0610041618347168,0.005800724029541016,-1,0.08964014053344727,0.10057950019836426,50,edge,0,3/7
1690669545.8659208,9.668773561521837,0.0,0.010357141494750977,0.060952186584472656,0.005822420120239258,-1,0.09252214431762695,0.10345172882080078,50,edge,0,3/7
1690669545.969314,9.686285496613886,0.0,0.00887608528137207,0.06055760383605957,0.008980989456176758,-1,0.08926701545715332,0.10339140892028809,50,edge,0,3/7
1690669546.0714612,9.685205711101025,0.0,0.010107755661010742,0.06105923652648926,0.005788564682006836,-1,0.09126591682434082,0.10214781761169434,50,edge,0,3/7
1690669546.173119,9.66770478713181,0.0,0.009683847427368164,0.06108999252319336,0.0058307647705078125,-1,0.09066224098205566,0.1016545295715332,50,edge,0,3/7
1690669546.27554,9.630686357400554,0.0,0.009117603302001953,0.0617833137512207,0.005787372589111328,-1,0.09151411056518555,0.10242414474487305,50,edge,0,3/7
1690669546.3694997,9.62368406172677,0.0,0.0039174556732177734,0.06014442443847656,0.005822658538818359,-1,0.08302736282348633,0.09395909309387207,50,edge,0,3/7
1690669546.4740193,9.600180367041798,0.0,0.009653091430664062,0.06106400489807129,0.007820844650268555,-1,0.09157586097717285,0.10451674461364746,50,edge,0,3/7
1690669546.6144812,9.52476998718288,0.0,0.009502172470092773,0.06440258026123047,0.005780696868896484,-1,0.1295325756072998,0.14046525955200195,50,edge,0,3/7
1690669546.7175257,9.53895107485963,0.0,0.009239435195922852,0.06503653526306152,0.005887508392333984,-1,0.09493851661682129,0.10304021835327148,50,edge,0,3/7
