Unnamed: 0,timestamp,fps,fails,edge_preprocess_time,edge_inf_time,mobile_preprocess_time,mobile_inf_time,comm_time,end_to_end_latency,jpeg_compression,type,other_clients,position,energon_network_quality_wlan0_signal_level_dBm,energon_network_metrics_wlan0_rx_dropped,energon_gpu_total_usage_percentage,energon_network_metrics_wlan0_rx_errors,energon_network_quality_wlan0_bit_rate_Mbs,energon_network_metrics_wlan0_tx_packets,energon_network_metrics_wlan0_tx_errors,energon_network_metrics_wlan0_rx_packets,energon_cpu_in_power_mW,energon_network_metrics_wlan0_tx_bytes,energon_ram_used_percentage,energon_network_metrics_wlan0_rx_bytes,energon_network_metrics_wlan0_tx_dropped,energon_cpu_total_usage_percentage,energon_total_in_power_mW,energon_network_quality_wlan0_link_quality_x_over_70,energon_gpu_in_power_mW
45,1690668212.552021,6.157612288458903,0.0,0.0145165920257568,0.0649337768554687,0.0265965461730957,-1,0.02,0.0498764705657959,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
46,1690668212.6978073,6.185655355513516,0.0,0.0160832405090332,0.0643360614776611,0.0083601474761962,-1,0.02,0.0307641220092774,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
47,1690668212.855747,6.173552992186335,0.0,0.0171635150909423,0.0710055828094482,0.0084562301635742,-1,0.02,0.030754108428955106,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
48,1690668213.0075998,6.17934107511177,0.0,0.0162062644958496,0.068291425704956,0.0083816051483154,-1,0.02,0.0307641220092774,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
49,1690668213.1673162,6.1799009904385,0.0,0.0175306797027587,0.0658493041992187,0.0084166526794433,-1,0.02,0.03388692855834961,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
50,1690668213.3189795,6.205836310545544,0.0,0.0166397094726562,0.065774917602539,0.0084726810455322,-1,0.02,0.03377701759338379,100,edge,0,1,-52.0,0.0,0.0,0.0,144.4,4929.0,0.0,2437.0,2808.0,5387063.0,12.520670034313737,215029.0,0.0,55.58312655086849,4592.0,58.0,151.0
51,1690668213.4793189,6.205365325054954,0.0,0.0167853832244873,0.0662696361541748,0.0081064701080322,-1,0.02,0.033312578201293894,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
52,1690668213.6351588,6.240229897997245,0.0,0.0166263580322265,0.0653343200683593,0.0108695030212402,-1,0.02,0.038512487411499,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
53,1690668213.8011622,6.257465415690918,0.0,0.0168652534484863,0.0656709671020507,0.0133402347564697,-1,0.02,0.04121019363403321,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
54,1690668213.9668438,6.286514776860656,0.0,0.0169224739074707,0.0656900405883789,0.0135016441345214,-1,0.02,0.039342899322509686,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
55,1690668214.1166832,6.302952860331216,0.0,0.0168197154998779,0.0644302368164062,0.0083262920379638,-1,0.02,0.03518344879150391,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
56,1690668214.2663698,6.306252826564588,0.0,0.0167887210845947,0.0664007663726806,0.0083820819854736,-1,0.02,0.030823488235473605,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
57,1690668214.4197686,6.308745311359716,0.0,0.0167410373687744,0.0657100677490234,0.0103957653045654,-1,0.02,0.03366829872131351,100,edge,0,1,-58.0,0.0,0.0,0.0,144.4,5948.0,0.0,2706.0,3010.0,6840025.0,12.837397044012638,237171.0,0.0,55.4726368159204,5013.0,52.0,150.0
58,1690668214.5748167,6.31656707233943,0.0,0.0150082111358642,0.0649926662445068,0.0083193778991699,-1,0.02,0.033752222061157314,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,6953.0,0.0,2963.0,2665.0,8291499.0,12.829808998042877,257656.0,0.0,56.68316831683169,4386.0,56.0,114.0
59,1690668214.731338,6.3156028702016975,0.0,0.0168948173522949,0.0655429363250732,0.0089354515075683,-1,0.02,0.03428556442260748,100,edge,0,1,-54.0,0.0,0.0,0.0,144.4,6953.0,0.0,2963.0,2665.0,8291499.0,12.829808998042877,257656.0,0.0,56.68316831683169,4386.0,56.0,114.0
